VH_EFFECTIVE_DT,VH_AGE,VH_RET_AGE,VH_ANN_SAL,VH_MTHLY_SS_INCOME
1/1/2017 0:00,55,75,"60,000","2,447"
1/1/2017 0:00,55,75,"80,000","2,892"
1/1/2017 0:00,55,75,"100,000","3,175"
1/1/2017 0:00,55,75,"120,000","3,458"
1/1/2017 0:00,55,75,"127,200","3,560"
1/1/2017 0:00,55,80,"20,000","1,266"
1/1/2017 0:00,55,80,"40,000","1,897"
1/1/2017 0:00,55,80,"60,000","2,527"
1/1/2017 0:00,55,80,"80,000","2,943"
1/1/2017 0:00,55,80,"100,000","3,238"
1/1/2017 0:00,55,80,"120,000","3,533"
1/1/2017 0:00,55,80,"127,200","3,640"
1/1/2017 0:00,55,85,"20,000","1,286"
1/1/2017 0:00,55,85,"40,000","1,936"
1/1/2017 0:00,55,85,"60,000","2,585"
1/1/2017 0:00,55,85,"80,000","2,979"
1/1/2017 0:00,55,85,"100,000","3,284"
1/1/2017 0:00,55,85,"120,000","3,589"
1/1/2017 0:00,55,85,"127,200","3,698"
1/1/2017 0:00,60,62,"20,000",650
1/1/2017 0:00,60,62,"40,000",929
1/1/2017 0:00,60,62,"60,000","1,203"
1/1/2017 0:00,60,62,"80,000","1,478"
1/1/2017 0:00,60,62,"100,000","1,696"
1/1/2017 0:00,60,62,"120,000","1,824"
1/1/2017 0:00,60,62,"127,200","1,871"
1/1/2017 0:00,60,65,"20,000",830
1/1/2017 0:00,60,65,"40,000","1,198"
1/1/2017 0:00,60,65,"60,000","1,561"
1/1/2017 0:00,60,65,"80,000","1,923"
1/1/2017 0:00,60,65,"100,000","2,159"
1/1/2017 0:00,60,65,"120,000","2,329"
1/1/2017 0:00,60,65,"127,200","2,390"
1/1/2017 0:00,60,67,"20,000",976
1/1/2017 0:00,60,67,"40,000","1,417"
1/1/2017 0:00,60,67,"60,000","1,852"
1/1/2017 0:00,60,67,"80,000","2,287"
1/1/2017 0:00,60,67,"100,000","2,534"
1/1/2017 0:00,60,67,"120,000","2,738"
1/1/2017 0:00,60,67,"127,200","2,811"
1/1/2017 0:00,60,70,"20,000","1,217"
1/1/2017 0:00,60,70,"40,000","1,773"
1/1/2017 0:00,60,70,"60,000","2,327"
1/1/2017 0:00,60,70,"80,000","2,876"
1/1/2017 0:00,60,70,"100,000","3,136"
1/1/2017 0:00,60,70,"120,000","3,396"
1/1/2017 0:00,60,70,"127,200","3,489"
1/1/2017 0:00,60,75,"20,000","1,258"
1/1/2017 0:00,60,75,"40,000","1,854"
1/1/2017 0:00,60,75,"60,000","2,448"
1/1/2017 0:00,60,75,"80,000","2,952"
1/1/2017 0:00,60,75,"100,000","3,231"
1/1/2017 0:00,60,75,"120,000","3,510"
1/1/2017 0:00,60,75,"127,200","3,610"
